RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2022-06-21;MERC4;MERC;MERC;CASH;EQUITY-CASH;SHARES;;;2022-03-07;9999-12-31;;;;;BRMERCACNPR9;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;176;1;2;;;;PN        ;MERCANTIL BRASIL FINANC S.A. C.F.I.;9999-12-31;FUNGIBLE;7830435;
2022-06-21;MGEL3;MGEL;MGEL;CASH;EQUITY-CASH;SHARES;;;2016-06-01;9999-12-31;;;;;BRMGELACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;152;1;2;;;;ON;MANGELS INDUSTRIAL S.A.;9999-12-31;FUNGIBLE;2067243;
2022-06-21;MGEL4;MGEL;MGEL;CASH;EQUITY-CASH;SHARES;;;2016-06-01;9999-12-31;;;;;BRMGELACNPR3;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;147;1;2;;;;PN        ;MANGELS INDUSTRIAL S.A.       ;9999-12-31;FUNGIBLE;3715969;
2022-06-21;MGFB3;MGFB;MGFB;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMGFBACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;M&G FIBRAS HOLDING S.A.;9999-12-31;FUNGIBLE;1;
2022-06-21;MGLU3;MGLU;MGLU;CASH;EQUITY-CASH;SHARES;;;2022-06-13;9999-12-31;;;;;BRMGLUACNOR2;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;ON  ATZ NM;MAGAZINE LUIZA S.A.           ;9999-12-31;FUNGIBLE;6748926848;NOVO MERCADO
2022-06-21;MILS3;MILS;MILS;CASH;EQUITY-CASH;SHARES;;;2022-06-09;9999-12-31;;;;;BRMILSACNOR2;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;117;1;2;;;;ON  EJ  NM;MILLS ESTRUTURAS E SERVI�OS DE ENGENHARIA S.A.;9999-12-31;FUNGIBLE;246183856;NOVO MERCADO
2022-06-21;MLAS3;MLAS;MLAS;CASH;EQUITY-CASH;SHARES;;;2022-05-06;9999-12-31;;;;;BRMLASACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;MULTILASER INDUSTRIAL S.A.    ;9999-12-31;FUNGIBLE;820539225;NOVO MERCADO
2022-06-21;MMAQ3;MMAQ;MMAQ;CASH;EQUITY-CASH;SHARES;;;2022-04-28;9999-12-31;;;;;BRMMAQACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;151;1;2;;;;ON        ;MINASMAQUINAS S.A.            ;9999-12-31;FUNGIBLE;22425;
2022-06-21;MMAQ4;MMAQ;MMAQ;CASH;EQUITY-CASH;SHARES;;;2022-04-28;9999-12-31;;;;;BRMMAQACNPR8;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;151;1;2;;;;PN        ;MINASMAQUINAS S.A.            ;9999-12-31;FUNGIBLE;22425;
2022-06-21;MMBR3;MMBR;MMBR;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMBRACNOR7;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;ON *;MAGNETI MARELLI DO BRASIL IND.COM S.A.;9999-12-31;FUNGIBLE;1;
2022-06-21;MMBR4;MMBR;MMBR;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMBRACNPR4;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;PN *;MAGNETI MARELLI DO BRASIL IND.COM S.A.;9999-12-31;FUNGIBLE;1;
